Name,Rating,Rating_Count,Discount,Discount_price,Retail_price,Release_year,Win,Linux,Mac,Time
For The King,8,5565,-50,"9,99","19,99",2018,1,1,1,2019-10-20 15:13:41.570168
Europa Universalis IV: Empire Bundle,8,43211,-59,"105,60","254,85",,1,1,1,2019-10-20 15:13:41.570168
My Time At Portia,8,11570,-25,"22,49","29,99",2019,1,0,0,2019-10-20 15:13:41.570168
EARTH DEFENSE FORCE: IRON RAIN,5,172,-20,"39,99","49,99",2019,1,0,0,2019-10-20 15:13:41.570168
Shadowrun Returns,8,7227,-75,"3,74","14,99",2013,1,1,1,2019-10-20 15:13:41.570168
Warhammer: End Times - Vermintide,8,11302,-75,"6,99","27,99",2015,1,0,0,2019-10-20 15:13:41.570168
Overcooked,8,6463,-75,"3,99","15,99",2016,1,0,0,2019-10-20 15:13:41.570168
Assassin's Creed® Unity,5,18587,-70,"8,99","29,99",2014,1,0,0,2019-10-20 15:13:41.570168
Warhammer: Chaosbane,5,2244,-50,"24,99","49,99",2019,1,0,0,2019-10-20 15:13:41.570168
DYNASTY WARRIORS 8 Empires,5,805,-75,"12,49","49,99",2015,1,0,0,2019-10-20 15:13:41.570168
Europa Universalis IV: Conquest of Paradise Collection,5,183,-55,"10,42","22,95",,1,1,1,2019-10-20 15:13:41.570168
Worms Collection,8,14871,-82,"38,30","209,78",,1,0,0,2019-10-20 15:13:41.570168
SUPERHOT VR,8,2756,-33,"15,40","22,99",2017,1,0,0,2019-10-20 15:13:41.570168
Age of Wonders III Collection,6,5102,-65,"24,26","68,96",,1,1,1,2019-10-20 15:13:41.570168
All Characters Bundle,6,61,-63,"13,17","35,42",,1,0,1,2019-10-20 15:13:41.570168
Overcooked! 1 & 2 Bundle,8,12944,-59,"16,--","38,98",,1,0,0,2019-10-20 15:13:41.570168
Frostpunk: Season Pass,5,220,-30,"23,77","33,97",,1,0,0,2019-10-20 15:13:41.570168
NEKO-NIN exHeart 3,7,16,-10,"7,37","8,19",2019,1,0,0,2019-10-20 15:13:41.570168
"Warhammer 40,000: Inquisitor - Prophecy",5,297,-25,"18,74","24,99",2019,1,0,0,2019-10-20 15:13:41.570168
Assassin’s Creed® Brotherhood,8,7165,-66,"5,09","14,99",2011,1,0,0,2019-10-20 15:13:41.570168
Yuppie Psycho,8,748,-25,"12,49","16,66",2019,1,1,1,2019-10-20 15:13:41.570168
SpellForce 3: Soul Harvest,8,576,-33,"16,74","24,99",2019,1,0,0,2019-10-20 15:13:41.570168
Rise to Ruins,8,3716,-30,"8,74","12,49",2019,1,1,1,2019-10-20 15:13:41.570168
Atelier Ryza: Ever Darkness & the Secret Hideout,0,0,-10,"53,99","59,99",2019,1,0,0,2019-10-20 15:13:41.570168
"Warhammer 40,000: Armageddon - Imperium Complete",6,630,-81,"15,83","82,92",,1,0,0,2019-10-20 15:13:41.570168
Sid Meier's Civilization IV: Colonization,6,356,-75,"6,24","24,99",2008,1,0,0,2019-10-20 15:13:41.570168
BattleBlock Theater®,9,37503,-80,"2,99","14,99",2014,1,1,1,2019-10-20 15:13:41.570168
Shadowrun Complete Collection,8,12567,-74,"17,95","69,95",,1,1,1,2019-10-20 15:13:41.570168
Assassin's Creed 2 Deluxe Edition,8,16829,-66,"3,39","9,99",2010,1,0,0,2019-10-20 15:13:41.570168
Hello Neighbor,6,1815,-34,"18,47","27,99",2017,1,0,0,2019-10-20 15:13:41.570168
Depraved,5,448,-40,"11,99","19,99",2019,1,1,1,2019-10-20 15:13:41.570168
Bomber Crew,8,4320,-70,"4,49","14,99",2017,1,1,1,2019-10-20 15:13:41.570168
Europa Universalis IV: Collection,8,42921,-59,"115,47","279,58",,1,0,0,2019-10-20 15:13:41.570168
Blood Bowl 2 - Legendary Edition,6,3385,-60,"11,99","29,99",2017,1,0,1,2019-10-20 15:13:41.570168
Assassin’s Creed® Rogue,8,5452,-67,"6,59","19,99",2015,1,0,0,2019-10-20 15:13:41.570168
Arma 3 DLC Essentials,6,3438,-75,"13,09","51,43",,1,0,0,2019-10-20 15:13:41.570168
Shadowrun: Dragonfall - Director's Cut,8,3360,-75,"3,74","14,99",2014,1,1,1,2019-10-20 15:13:41.570168
Surviving Mars: Green Planet Plus,8,146,-22,"20,31","25,98",,1,1,1,2019-10-20 15:13:41.570168
Talisman: Digital Edition,6,2365,-75,"1,74","6,99",2014,1,0,1,2019-10-20 15:13:41.570168
Mordheim: City of the Damned,6,4538,-66,"6,79","19,99",2015,1,0,0,2019-10-20 15:13:41.570168
"Warhammer 40,000: Dawn of War II - Master Collection",8,4258,-75,"13,74","54,99",,1,1,1,2019-10-20 15:13:41.570168
